230	Ident#func	move
231	(#(	move
232	funcFParams#)	reduction
233	)#)	move
234	block#{	reduction
235	{#{	move
236	blockItem#int	reduction
237	decl#int	reduction
238	varDecl#int	reduction
239	bType#int	reduction
240	int#int	move
241	varDef#a	reduction
242	Ident#a	move
243	argVarDef#=	reduction
244	=#=	move
245	initVal#5	reduction
246	exp#5	reduction
247	assignExp#5	reduction
248	eqExp#5	reduction
249	relExp#5	reduction
250	addExp#5	reduction
251	mulExp#5	reduction
252	unaryExp#5	reduction
253	primaryExp#5	reduction
254	number#5	reduction
255	INT#5	move
256	mulExpAtom#;	reduction
257	addExpAtom#;	reduction
258	relExpAtom#;	reduction
259	eqExpAtom#;	reduction
260	assignExpAtom#;	reduction
261	argVarDecl#;	reduction
262	;#;	move
263	blockItem#int	reduction
264	decl#int	reduction
265	varDecl#int	reduction
266	bType#int	reduction
267	int#int	move
268	varDef#c	reduction
269	Ident#c	move
270	argVarDef#=	reduction
271	=#=	move
272	initVal#2	reduction
273	exp#2	reduction
274	assignExp#2	reduction
275	eqExp#2	reduction
276	relExp#2	reduction
277	addExp#2	reduction
278	mulExp#2	reduction
279	unaryExp#2	reduction
280	primaryExp#2	reduction
281	number#2	reduction
282	INT#2	move
283	mulExpAtom#;	reduction
284	addExpAtom#;	reduction
285	relExpAtom#;	reduction
286	eqExpAtom#;	reduction
287	assignExpAtom#;	reduction
288	argVarDecl#;	reduction
289	;#;	move
290	blockItem#int	reduction
291	decl#int	reduction
292	varDecl#int	reduction
293	bType#int	reduction
294	int#int	move
295	varDef#temp1	reduction
296	Ident#temp1	move
297	argVarDef#=	reduction
298	=#=	move
299	initVal#f	reduction
300	exp#f	reduction
301	assignExp#f	reduction
302	eqExp#f	reduction
303	relExp#f	reduction
304	addExp#f	reduction
305	mulExp#f	reduction
306	unaryExp#f	reduction
307	Ident#f	move
308	callFunc#+	reduction
309	mulExpAtom#+	reduction
310	addExpAtom#+	reduction
311	+#+	move
312	mulExp#e	reduction
313	unaryExp#e	reduction
314	Ident#e	move
315	callFunc#;	reduction
316	mulExpAtom#;	reduction
317	addExpAtom#;	reduction
318	relExpAtom#;	reduction
319	eqExpAtom#;	reduction
320	assignExpAtom#;	reduction
321	argVarDecl#;	reduction
322	;#;	move
323	blockItem#int	reduction
324	decl#int	reduction
325	varDecl#int	reduction
326	bType#int	reduction
327	int#int	move
328	varDef#temp2	reduction
329	Ident#temp2	move
330	argVarDef#=	reduction
331	=#=	move
332	initVal#f	reduction
333	exp#f	reduction
334	assignExp#f	reduction
335	eqExp#f	reduction
336	relExp#f	reduction
337	addExp#f	reduction
338	mulExp#f	reduction
339	unaryExp#f	reduction
340	Ident#f	move
341	callFunc#+	reduction
342	mulExpAtom#+	reduction
343	addExpAtom#+	reduction
344	+#+	move
345	mulExp#2	reduction
346	unaryExp#2	reduction
347	primaryExp#2	reduction
348	number#2	reduction
349	INT#2	move
350	mulExpAtom#;	reduction
351	addExpAtom#;	reduction
352	relExpAtom#;	reduction
353	eqExpAtom#;	reduction
354	assignExpAtom#;	reduction
355	argVarDecl#;	reduction
356	;#;	move
357	blockItem#int	reduction
358	decl#int	reduction
359	varDecl#int	reduction
360	bType#int	reduction
361	int#int	move
362	varDef#temp3	reduction
363	Ident#temp3	move
364	argVarDef#=	reduction
365	=#=	move
366	initVal#c	reduction
367	exp#c	reduction
368	assignExp#c	reduction
369	eqExp#c	reduction
370	relExp#c	reduction
371	addExp#c	reduction
372	mulExp#c	reduction
373	unaryExp#c	reduction
374	Ident#c	move
375	callFunc#;	reduction
376	mulExpAtom#;	reduction
377	addExpAtom#;	reduction
378	relExpAtom#;	reduction
379	eqExpAtom#;	reduction
380	assignExpAtom#;	reduction
381	argVarDecl#;	reduction
382	;#;	move
383	blockItem#return	reduction
384	stmt#return	reduction
385	return#return	move
386	argExp#a	reduction
387	exp#a	reduction
388	assignExp#a	reduction
389	eqExp#a	reduction
390	relExp#a	reduction
391	addExp#a	reduction
392	mulExp#a	reduction
393	unaryExp#a	reduction
394	Ident#a	move
395	callFunc#+	reduction
396	mulExpAtom#+	reduction
397	addExpAtom#+	reduction
398	+#+	move
399	mulExp#b	reduction
400	unaryExp#b	reduction
401	Ident#b	move
402	callFunc#;	reduction
403	mulExpAtom#;	reduction
404	addExpAtom#;	reduction
405	relExpAtom#;	reduction
406	eqExpAtom#;	reduction
407	assignExpAtom#;	reduction
408	;#;	move
409	blockItem#}	reduction
410	}#}	move
411	compUnit##	reduction
412	EOF#EOF	accept
